DATE,Home Price,Year,Month,Unemp Rate,Emp Rate,Working_Pop,CPI,DPI,Interest Rates,House Supply,Population,Real Gdp,Number_Households,Housing_Subsidies,Old_Pop
2002-01-01,117.144,2002,1,5.7,72.0321653757782,182662008.951495,177.7,10514.7,1.73,4.2,286739.0,50260.25,109297.0,24.183,12.2874577893554
2002-02-01,117.844,2002,2,5.7,72.338606780533,182821887.188288,178.0,10531.6,1.74,4.0,286935.0,50260.25,109297.0,24.183,12.2874577893554
2002-03-01,118.687,2002,3,5.7,72.1561684271869,183075694.261812,178.5,10539.0,1.73,4.1,287131.0,50260.25,109297.0,24.183,12.2874577893554
2002-04-01,119.61,2002,4,5.9,71.9031523588876,183314281.68489495,179.3,10574.2,1.75,4.3,287343.0,50260.25,109297.0,24.183,12.2874577893554
2002-05-01,120.724,2002,5,5.8,72.0199470928663,183467153.69683695,179.5,10616.5,1.75,4.0,287571.0,50260.25,109297.0,24.183,12.2874577893554
2002-06-01,121.813,2002,6,5.8,71.842673010677,183671360.734222,179.6,10648.2,1.75,4.2,287808.0,50260.25,109297.0,24.183,12.2874577893554
2002-07-01,122.888,2002,7,5.8,71.7437622841933,183870069.36741,180.0,10621.0,1.73,4.2,288051.0,50260.25,109297.0,24.183,12.2874577893554
2002-08-01,123.83,2002,8,5.7,71.8830358810622,184129205.348042,180.5,10623.0,1.74,4.0,288303.0,50260.25,109297.0,24.183,12.2874577893554
2002-09-01,124.78,2002,9,5.7,72.0512845300192,184259766.167293,180.8,10633.6,1.75,3.9,288554.0,50260.25,109297.0,24.183,12.2874577893554
2002-10-01,125.734,2002,10,5.7,71.8749474020059,184464932.450177,181.2,10661.8,1.75,4.0,288794.0,50260.25,109297.0,24.183,12.2874577893554
2002-11-01,126.669,2002,11,5.9,71.5479416970261,184784167.385802,181.5,10690.9,1.34,4.0,289012.0,50260.25,109297.0,24.183,12.2874577893554
2002-12-01,127.623,2002,12,6.0,71.5777016405316,184901499.296025,181.8,10719.9,1.24,4.0,289214.0,50260.25,109297.0,24.183,12.2874577893554
2003-01-01,128.461,2003,1,5.8,71.5940552699158,185655258.260117,182.6,10710.4,1.24,4.0,289412.0,51189.0,111278.0,25.93,12.2779342993686
2003-02-01,129.356,2003,2,5.9,71.5173760952788,185831005.987438,183.6,10674.0,1.26,4.5,289606.0,51189.0,111278.0,25.93,12.2779342993686
2003-03-01,130.148,2003,3,5.9,71.3951187299571,186120061.66385,183.9,10696.5,1.25,4.1,289809.0,51189.0,111278.0,25.93,12.2779342993686
